,title,link,image,author,discount,publisher,pubdate,isbn,description
0,"최재붕의 메타버스 이야기 (디지털 신대륙에 사는 신인류, 그들이 만드는 신세계)",https://search.shopping.naver.com/book/catalog/32436254284,https://shopping-phinf.pstatic.net/main_3243625/32436254284.20220527035423.jpg,최재붕,15300,북인어박스,20220513,9791197617027,"이 책은 ‘기술’에 관한 책이 아니다
디지털 신대륙에서 살아갈 ‘사람’에 관한 책이다

‘문명을 읽는 공학자’ 최재붕 교수가 바라본
10년 후 디지털 신대륙 문명의 필연, 그리고 당신에게 찾아올 기회

코로나가 우리에게 알려준 것은 바이러스의 위력뿐 아니다. 디지털 없는 세계로 되돌아갈 수 없다는 디지털 문명의 불가역성을 일깨웠다. 디지털 없는 세계는 과거에는 ‘불편한’ 세계였을 뿐이지만, 앞으로는 일상을 즐길 수도 생존을 위해 먹고 살 수도 없는 ‘불가능한’ 세계다. 이것이 팬데믹 이후 뉴노멀의 본질이며, 그 중심에 메타버스 세상이 있다.
‘문명을 읽는 공학자’이자 자타공인 대한민국 최고의 비즈디자이너 최재붕 교수는 ‘포노 사피엔스’의 등장 이후 팬데믹까지 일련의 흐름 속에서 메타버스 세계관이 우리의 일상을 어떻게 바꾸었으며, 또 어떻게 비즈니스의 판도를 바꾸었는지 흥미롭고 다양한 데이터를 활용해 추적한다. 특히 ‘기술’이 아닌 ‘인간의 삶’에 주목하며, 메타버스와 NFT, 크립토 경제가 꽃 피우려는 디지털 신대륙에서 개인과 기업의 경쟁력과 새로운 기회를 탐색한다."
1,메타버스 (다음 빅씽을 위한 준비),https://search.shopping.naver.com/book/catalog/32436271621,https://shopping-phinf.pstatic.net/main_3243627/32436271621.20220527024243.jpg,테리 윈터스,13500,청람,20220427,9788959728763,"메타버스(metaverse)는 초월이라는 의미의 ‘메타(meta)’와 세계라는 의미의 ‘유니버스(universe)’의 합성어로 초월적인 세계관을 뜻한다. 새로운 방식으로 소통하고 관계를 맺고자 하는 인간의 욕망은 ‘메타버스’라는 새로운 플랫폼을 만들어 냈다. 또한 메타버스는 모든 산업에 스며들어 가상 경제 생태계를 만들어 내고 있다. 메타버스는 단순 기술 트렌드를 넘어 사회·문화적 변화를 동반하고 있다. 사업 영역이 불명확해지는 상황과 현실과 가상의 경계가 흐려지면서 새로운 가치창출의 원천이 메타버스가 될 수 있다.
이 실용 입문서에서는 새로운 디지털 르네상스를 준비해야 하는 이유와 방법, 취업 기회, 투자 및 새로운 비즈니스 모델 측면에서 메타버스가 의미하는 바를 배울 수 있다. 또한 이 책을 읽으면서 누가, 무엇이 메타버스에 힘을 실어줄 것인가, 가상세계에서 새로운 비즈니스 모델과 기회, 탈중앙화 세계 시작, 가상 실물자산 투자 인사이트, 암호화폐, 스마트 계약, DAO 및 NFT의 역할 등을 학습할 수 있다.

“Matthew Ball의 이 책은 기술, 사회, 인간 본성 및 창의성에 대한 생각을 자극하며 메타버스라는 새로운 개척지로의 여정을 시작하는 모든 크리에이터와 회사가 반드시 읽어야 할 책이다. 개인에 의해 형성되고 놀라운 사회적 경험이 주도하는 새로운 세계가 이제 막 시작되었다.”                                         -요시다 켄이치로, 소니 CEO

“Matthew Ball의 에세이는 수년간 메타버스를 정의하고, 분석하고, 영감을 주었다. 그의 책은 이 새로운 매체의 전략적, 기술적, 철학적 기초에 대한 접근하기 쉬운 필수 안내서이며, 모두에게 기회를 제공하고 또 다른 Big Tech 함정을 피하는 개방형 시스템을 구축할 수 있는 기회를 강조한다.”                           -팀 스위니, 에픽게임즈 창업자 겸 CEO"
2,메타버스 (당신의 브랜드는 준비되어 있는가),https://search.shopping.naver.com/book/catalog/32467454087,https://shopping-phinf.pstatic.net/main_3246745/32467454087.20220527050539.jpg,캐시 해클^존 버젤,15300,한국물가정보,20220420,9791190122177,"세계적인 기술 미래학자와 테크 리더가 전하는
우리가 해야 할 모든 새로운 것들에 대한 조언

세계적으로 인정받는 미래학자 캐시 해클과 신흥 기술 리더 존 버젤이 함께한 이 책은 디지털 전환기를 앞두고 모든 산업에서 일어나고 있는 급격한 혼란을 해결할 프레임워크와 사례를 제공한다. 저자들은 여러 매체에서 대중에게 기술을 소개한 경험을 바탕으로 사물인터넷, 5G, 인공지능, 확장현실, 블록체인, 클라우드, NFT 등 모든 메가테크를 전 세계 기업의 최신 사례를 통해 쉽게 설명한다. 
 특히 기업의 리더들은 이러한 기술을 어떻게 활용할지, 즉 기술을 토대로 앞으로 어떤 미래를 그려나갈 것인지 함께 상상해 볼 수 있으며, 아울러 많은 기업을 컨설팅한 노하우를 체계적으로 녹여낸 실질적인 질문 목록과 조언은 실무자들이 실무에 바로 적용할 수 있을 만큼 유용할 것이다. 기술 활용과 증강된 노동력에 대한 통찰, 그리고 실제 기업이 활용할 수 있는 실용적인 조언으로 가득한 이 책은 IT에 낯선 비전문가 독자도 쉽고 흥미롭게 읽을 수 있으며, 이미 활용 중인 현실의 기술을 정확하게 이해하는 데 많은 도움을 받을 것으로 확신한다."
3,메타버스 미래학교 (학생과 교사ㆍ학부모를 위한),https://search.shopping.naver.com/book/catalog/33703421619,https://shopping-phinf.pstatic.net/main_3370342/33703421619.20220728093322.jpg,심재우^안유미^박성호^정동완,23400,진한엠앤비,20220728,9791129031112,"메타버스는 2021년에 아주 뜨거운 이슈였고, 매일 여러 가지의 메타버스 기사들이 매스컴을 지배했었다. 이런 트렌드는 2022년이 되자 더욱 넓고 빠르게 확산되고 있으며 각자의 조건과 상황에 따라 서로 다른 반응과 대응을 하고 있다.
메타버스에 가장 많은 관심을 기울이고 적극적으로 활용하는 곳은 기업이다. 기업들이 앞을 다투어 메타버스 속으로 뛰어 드는 이유는 미래 고객인 MZ세대들을 만나기 위함이다. 이들과의 접점을 늘리고 밀접한 소통과 공감을 통한 고객 경험을 바탕으로 자사의 브랜드와 이미지를 노출시키고 호의적으로 만드는 게 가장 큰 목적이라고 할 수 있다. 
이 책은 학생과 교사, 학부모를 위해 만들었다. 기업들에 비해 학교와 학생은 메타버스를 어떻게 이해하고 받아들여야 할지, 명확한 지침이나 방향성을 제시하지 못하는 상황이다. 그도 그럴 것이 메타버스는 정의나 발전 방향, 지향점에 대해 아직까지 명확한 결론을 내리지 못한 채, 지금도 빠른 속도로 발전하고 변화하고 있기 때문이다."
4,메타버스 (메타버스 경제활동 영토를 선점하라 1),https://search.shopping.naver.com/book/catalog/32457144644,https://shopping-phinf.pstatic.net/main_3245714/32457144644.20220527044454.jpg,주종민,16200,광문각,20220210,9788970937052,"메타버스 경제활동 영토를 선점하라
WHY? 메타버스를 알아야 하는지 알려주는 지침서!"
5,church@메타버스 (메타버스 안의 교회),https://search.shopping.naver.com/book/catalog/33005823619,https://shopping-phinf.pstatic.net/main_3300582/33005823619.20220622070137.jpg,최종인,11700,청우,20220614,9788994846538,"웹 3.0시대, 교회는 무엇을 준비하는가?
한 손에 복음들고 세상의 패러다임에 반응하라!

‘미래교회를 고민하는 선구자’ 최종인 목사가 알려주는 메타버스 지피지기

서로 다른 공간에서 함께 수업을 듣고, 예배를 드리는 것이 일상이 되어버린 시대 그리고 그 시대를 살아가는 세대, 더 이상 되돌릴 수 없는 디지털 세계의 중심에 메타버스 세상이 왔다. 

메타버스는 일시적인 트렌드가 아니다. 이미 세계적인 기업 Facebook의 주요사업이며, 세계 유수의 기업들이 새로운 기회를 찾기 위해 뛰어드는 새로운 문명이다. 10년 후에는 모든 것이 바뀐다. 그런데 그 안에서 교회만 바뀌지 않는다면...?

교회는 메타버스를 알고 백전백승 해야한다. 이것이 복음가진 우리의 사명이다!
메타버스에서 교회의 역할과 사역에 주목하며 한 손에 복음들고 디지털 신대륙에서도 하나님의 빛을 전달해야 한다. 『church@메타버스』는 교회와 사역자가 위 역할을 해낼 수 있도록 돕는 귀중한 가이드북이 될 것이다."
6,메타버스 여행,https://search.shopping.naver.com/book/catalog/32466956389,https://shopping-phinf.pstatic.net/main_3246695/32466956389.20220527055904.jpg,김정윤^이지수,10050,아주좋은날,20220325,9791192058061,"메타버스? 무슨 버스?
메타버스 속에서 사는 우리 아이들!

경계 없는 가상 세계,
메타버스의 세상이 손 안에!

오늘과 미래를 읽는 힘, 메타버스
코로나 시대의 축복?

코로나19 바이러스가 창궐한 지난 2년, 우리의 일상은 180도 뒤바뀌었다. 아이들은 학교에 가지 못했고, 어른들은 재택 근무를 이어 가며 이웃과 단절된 삶, 언택트 생활에 익숙해졌다. 공공시설은 문을 닫고, 늘어나는 일회용품 소비로 환경 문제가 심화됐다. 하지만, 이 서글픈 시대가 불러온 한 가지 선물이 있었으니,  바로 ‘메타버스’세상이다. 
메타버스‘Metaverse’는 가상을 뜻하는‘Meta’와 세계를 뜻하는‘Universe’의 합성어로, 현실처럼 사회·경제·문화 활동이 이뤄지는 가상 세계를 의미하는 용어다. 1992년 닐 스티븐슨의 소설 《스노 크래시》에 처음 등장한 이래, 근 몇 년간, 코로나19 바이러스로 비대면 기술과 서비스가 급속도로 발전하면서 메타버스 세상은 예상보다 빨리 우리 삶 속 다양한 분야에 스며들었다. 
이렇듯 메타버스는 향후 미래 사회를 구성할 가장 강력한 키워드로 주목받고 있지만 아직 우리 아이들에게는 낯설고 어려운 단어로 느껴지는지도 모르겠다. 사실은 아이들의 일상은 이미 메타버스 속 깊이 연결되어 있는데 말이다. 학교의 일부 기능이 온라인으로 옮겨 가고, ‘제페토’, ‘로블록스’, ‘마인크래프트’ 등의 공간에서 친구들을 사귀고 소통하기도 한다. 특히 어린 나이로 인해 공간적 제약과 제한이 있는 아이들은 이미 온라인에서 광활한 메타버스 세상 속에서 많은 시간을 보내고 있다. 

메타버스의 주역이 될 아이들에게 신간 《메타버스 여행》은 현실 세계와 가까이 연결되어 우리의 일상을 편리하고 다채롭게 만들어 줄 메타버스 세상을 어린 독자들에게 친절히 소개한다. 주인공 민국이가 메타버스를 단순히 ‘온라인 게임’에서 ‘사랑하는 사람들과 언제든 함께할 수 있는 공간’으로 확장해 나가는 과정을 통해 어린 독자들 역시 앞으로 펼쳐질 메타버스 사회를 깊이 있게 이해하게 될 것이다.

민국이와 함께 떠나는
메타버스 여행

바이러스로 학교에 제대로 나가지 못하는 민국이는 엄마가 회사에 가시면 쓸쓸히 온라인 수업을 듣는다. 그때마다 자꾸 게임으로 손이 가는 민국이는, 숙제는 뒷전이고 온라인 게임에만 몰두하게 된다. 그러던 어느 날, 학교에서 ‘메타버스 세상 만들기 대회’가 열린다. 민국이는 매일 게임만 해도 되는 세상을 만들기로 결심하지만, 마음대로 되지가 않는다. 과연 민국이의 포부는 이뤄질 수 있을까? 

《메타버스 여행》은 민국이의 성장을 통해 메타버스의 무궁무진한 세계를 간접 체험할 수 있는 창작 동화다. 이 책은 점점 영역을 넓혀 가는 가상현실, 메타버스 세계에 대해 알아보며 미래의 주역인 어린이들에게 메타버스의 특징과 갈래, 메타버스 세상에서 지켜야 할 질서 등에 대해 생각할 거리를 던져 준다. 어린 독자들이 《메타버스 여행》을 통해 매일 빠르게 발전하는 메타버스 기술의 판도와 단점 또한 가늠하고, 가상현실과 실제 세상을 함께 누리는 지혜를 키우게 되기를 기대한다. 

메타버스와 건강히 공존하는 방법
《메타버스 여행》이 알려 줄게!

아주좋은날의 〈큰 생각 작은 이야기〉 시리즈 다섯 번째 이야기, 《메타버스 여행》은 메타버스 세상에서 얻게 될 자유로운 소통과 편의성뿐 아니라 메타버스가 우리 사회에 드리울 그림자도 이야기한다. 한부모 가정의 자녀 민국이는 쓸쓸한 현실보다 익명의 친구들과 언제든 즐겁게 놀 수 있는 온라인 게임속 세상을 선호한다. 민국이의 사례처럼 많은 사람들이 게임, SNS 등 화려하고 즐거운 메타버스 세상을 현실 세상보다 중시하는 부작용이 나타나기도 한다. 
《메타버스 여행》은 메타버스에 너무 몰두하다가 실제 세상에서 경험할 수 있는 진정한 가치와 소통을 놓칠 수 있음을 지적하며, 독자들이 메타버스를 제대로 이해하고 똑똑하게 활용할 수 있는 방향을 제시한다. 어린 독자들이 《메타버스 여행》을 통해 메타버스 세상에 바르게 입문할 수 있기를 기원해 본다."
7,컨티뉴: 메타버스 게임 앤솔로지 (메타버스 게임 앤솔로지),https://search.shopping.naver.com/book/catalog/32733674624,https://shopping-phinf.pstatic.net/main_3273367/32733674624.20220611070209.jpg,윤자영^전건우^은상^서은건^정명섭,11700,빚은책들,20220610,9788955479348,"미래는 상상하는 대로 만들어진다. 영상통화가 가능한 전화기, 깊은 바다 속을 유영하는 잠수함, 화성을 탐사하는 우주선, 로봇과 안드로이드 그리고 인공지능. 모두 소설이 먼저 선보이고 현실화된 것들이다. 아직 이야기는 많이 나오지만 실제로 눈앞에 보이지 않는 메타버스 또한 작가들의 싱싱한 상상력에서 그 쓸모를 찾을 수 있을지도 모르겠다. 다섯 명의 작가가 메타버스 게임에 대한 다섯 가지 상상력을 눈에 보일 듯이 풀어낸다."
8,메타버스 시티 (메타버스 캔버스에 그리는 도시이야기),https://search.shopping.naver.com/book/catalog/32477586414,https://shopping-phinf.pstatic.net/main_3247758/32477586414.20220527031631.jpg,심재국,12560,매일경제신문사,20220523,9791164844159,"새롭고 강력한 플랫폼 메타버스에
그려가는 미래 도시이야기

우리는 대변혁의 변곡점에 서 있다. 도시화로 번영과 행복을 누려왔던 인류는 도시문제로 위험한 상황에 직면해 있다. 환경과 기후의 위기는 생태계를 회복 불능의 상태로 몰아가고 있고, 지역 간 불균형, 불평등과 양극화도 임계치에 이르렀다. 코로나 팬데믹과 디지털은 일상을 바꿔놓았으며, 도시에 변화를 요구하고 있다. 이 변화의 파도 속에서 생존을 위해 우리는 어떤 준비를 해야 할까? 지금이야말로 지속가능한 미래 도시를 세울 새로운 공간이 필요하지 않을까? 

저자는 그 해답을 메타버스 플랫폼에서 찾는다. 2차원 좌표에 3차원 공간 정보를 덧입히고, 사물인터넷과 인공지능, 자율주행, 가상현실과 증강현실 등 첨단기술로 무장한 스마트 시티를 만들어가는 미래를 제시한다. 또한, 현실 도시에서의 문제를 디지털 가상 도시에서 해결하고, 이것을 다시 현실 세계에 반영하는 메타버스 기술은 우리의 삶을 더욱 편리하게 만들어줄 것이라고 말한다. 데이터를 기반으로 도시의 모든 시설이 유기적으로 연결되어 정보를 주고받는 도시, 디지털을 활용해 더 나은 공공 서비스와 재난 관리로 지속가능성을 높이는 도시, 현실과 가상이 연동해 현실 도시를 더욱 풍요롭게 하는 스마트 시티에서 인류 미래의 답을 찾아본다. 

이 책은 네 개의 파트로 구성되어 있다. ‘환경ㆍ인구ㆍ불평등으로 인한 도시의 위기’, ‘코로나와 디지털로 인한 도시의 변화’, ‘메타버스와 도시’, ‘대전환기 미래 도시’ 로 구분하였다. 다소 학술적이고 실무적인 내용이 포함하고 있지만, 도시문제를 메타버스라는 트렌디한 방식으로 풀어내 알기 쉽게 정리했다. 메타버스 세상에서 미래의 도시가 궁금한 사람에게 필요한 책이다."
9,메타버스 2 (10년 후 미래를 먼저 보다),https://search.shopping.naver.com/book/catalog/32473660226,https://shopping-phinf.pstatic.net/main_3247366/32473660226.20220527041143.jpg,김상균,16200,플랜비디자인,20220302,9791168320093,"“10년 후, 개인·기업·국가… 모든 것이 바뀐다”

10년 후 우리를 둘러싼 공간, 조직, 인간관계를 비롯하여
유통, 방송, 게임, 금융, 의료 등 각 산업 분야의 변화를 그린 책

국내 최초로 메타버스를 다룬 『메타버스』를 읽은 누적 독자가 100만 명에 달한다. 『메타버스』를 읽은 수많은 기업들과 독자들은 메타버스에 대한 기대와 두려움을 담아 저자에게 질문을 던졌다. 메타버스가 조직을 어떻게 변화시킬 것인지, 조직은 당장 무엇을 준비해야 하는지, 메타버스는 우리 삶을 어떻게 변화시킬지 등. 『메타버스Ⅱ』는 그들의 질문에 대한 저자의 답변이자, 디지털 전환기에서 무엇을 준비해야 할지 몰라 우왕좌왕 헤매고 있는 이들을 위한 가이드북이다.
  
10년 후 디지털 지구에는 무엇이 남고 무엇이 사라지게 될까? 단언컨대, 10년 후에는 모든 것이 변한다. 우리를 둘러싼 공간·조직·인간관계는 물론이고 유통·방송·게임·금융·의료 등 산업 분야의 비즈니스 환경 등 모든 것이 변한다. 저자는 기술 발전의 역사와 과학적 이론, 빅테크 기업들의 움직임 등을 통해 10년 후 세상이 큰 틀에서 어떻게 바뀌어 있을지에 대해 그림을 그리듯 생생하게 알려준다. 이 책을 읽고 나면 우리 삶과 산업 전반을 관통하는 메타버스 세상에 대해 두려움보다는 기대를 안고 참여하게 될 것이다. 아울러 자신과 조직의 미래에 대해 거시적이고 다각적인 전략을 세울 수 있게 될 것이다."
